album_id,album_name,album_type,artist_id,artist_name,rank_position,track_duration,track_id,track_name,track_number,track_popularity,track_type,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,type,valence
2CfkAiaZGsdWhi1RRHKGkl,Bright Lights,SINGLE,6mcEXkX1gFc4kttIF6JKb5,Gibbz,109,194666,5fn2ibUsG78gZOx9DPw6ha,Bright Lights,1,27,track,0.137,0.797,194667,0.678,0.000886,5,0.0977,-5.509,1,0.0727,89.986,4,audio_features,0.884
4ymjpcGruNuUUUZOeGawLe,another eternity,ALBUM,1TtJ8j22Roc24e2Jx3OcU4,Purity Ring,110,217201,1Bildp7NM39gR3smbMh8W1,begin again,6,58,track,0.0108,0.598,217201,0.565,0.0471,11,0.307,-7.764,0,0.0471,92.126,4,audio_features,0.328
7EdH3HFfkPD44j2uh4HYNr,Cape Dory,ALBUM,1ybAN3utgdoUL1MUCtH4QM,Tennis,111,168693,0J7Ettdy8q3lffsgq9xO9N,Take Me Somewhere,1,32,track,0.307,0.345,168693,0.557,0.000397,9,0.0679,-8.022,1,0.0283,128.437,4,audio_features,0.387
7rXJOnBDZk3yPmpMXFNsPZ,Trouble,ALBUM,6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB,112,160285,1hPfhLeUCo1ltQLXjYkhp4,You Could Be,6,58,track,0.255,0.718,160286,0.681,1.88e-05,5,0.208,-4.593,0,0.0361,139.99,4,audio_features,0.356
1JWOlkTK241186WGMLZ7Yd,We Can Die Happy,ALBUM,1ybAN3utgdoUL1MUCtH4QM,Tennis,113,235400,4pqBmBpOQeKmDl2kAzHNcq,No Exit,1,42,track,0.364,0.839,235400,0.619,0.00938,2,0.0354,-5.697,1,0.0409,128.025,4,audio_features,0.961
4ISg8PwPKURn1HPiGJRP2F,Pedals,ALBUM,2J36VNWeaTFUrTwucwvZuA,Speak,114,222828,2ENBpH5E8q2ruksZfZZxVk,Gates,1,35,track,0.0592,0.514,222829,0.961,0.00283,0,0.078,-1.914,1,0.0879,166.953,4,audio_features,0.291
4F0LJueCDliCH7Bg4PPVil,The Hours (Music from the Motion Picture Soundtrack),ALBUM,69lxxQvsfAIoQbB20bEPFC,Philip Glass,115,467560,2vHxeotyQDiCsKaYsaDG5P,The Hours,14,43,track,0.973,0.41,467560,0.125,0.946,7,0.092,-21.216,0,0.0324,103.984,4,audio_features,0.0351
0jDnfywtNBh634OQD7EOJf,Filthy Dirty South,ALBUM,3I6e2ZqqoxQhXc9z7Tp5ci,Rising Appalachia,116,300213,7GQRN120LKLv3mrqbNDpXd,I'll Fly Away,7,37,track,0.0901,0.466,300213,0.461,2.96e-05,11,0.25,-8.494,0,0.0374,118.858,4,audio_features,0.136
7JWXCrTzHgiGo95ZG5japE,I Miss That Feeling,SINGLE,1ybAN3utgdoUL1MUCtH4QM,Tennis,117,202133,42XZcWNSbZCPQarEodiHbi,I Miss That Feeling,1,48,track,0.295,0.324,202133,0.542,0.0755,10,0.109,-6.823,0,0.0289,159.515,4,audio_features,0.61
2nvUJh8jKIXdWMf5ln8neL,Perfection,SINGLE,6eUtrZgzxqbV7zMxzN3Sz2,twoloud,118,194226,0QVyk0TL9lAnlfrT7R4X5M,Perfection,1,56,track,0.00107,0.562,194226,0.929,0.488,4,0.601,-2.899,0,0.0336,127.937,4,audio_features,0.279
6mnlbWM4QzTtyfVRkCxUSu,Gemini,SINGLE,0O8iPOnCv1ppuTVLQ9MDNC,HYDDE,119,205567,30OHypsTSIxl3NoxakZtbx,Gemini,1,50,track,0.135,0.768,205567,0.56,0.0,9,0.548,-4.567,0,0.0428,120.022,4,audio_features,0.423
2gcqSlK5xTxcpuLZ1iik3Z,Final Song,SINGLE,0bdfiayQAKewqEvaU6rXCv,MØ,120,235826,4qqArAiTPueDxIp7cf87h7,Final Song,1,75,track,0.014,0.695,235827,0.672,8.44e-05,1,0.0756,-6.109,0,0.0345,104.988,4,audio_features,0.245
